kelime,arapca_harfler,anlam
hayalî,ﯽﻝﺎﻴﺧ,"1.hayalî, hayal ürünü. 2.Karagöz oynatan."
hayat,تﺎﻴﺣ,yaşam.
hayatî,ﯽﺕﺎﻴﺣ,"hayatla ilgili, yaşamsal."
hayâtiyyât,تﺎﻴﺕﺎﻴﺣ,"biyoloji, yaşambilim."
hayf,ﻒﻴﺣ,"yazık, vah vah."
hayır,ﺮﻴﺧ,"iyilik, hayır."
hayl,ﻞﻴﺧ,"1.yılkı, at sürüsü. 2.zümre."
hayme,ﻪﻤﻴﺧ,çadır.
hayr,ﺮﻴﺧ,"iyilik, hayır."
hayran,ناﺮﻴﺣ,"1.şaşkın. 2.hayran, tutkun."
hayret,تﺮﻴﺣ,şaşkınlık.
haysiyyet,ﺖﻴﺜﻴﺣ,"şeref, onur."
hayvan,ناﻮﻴﺣ,1.canlı. 2.hayvan.
hayvanî,ﯽﻥاﻮﻴﺣ,hayvansal.
hayvaniye,ﻪﻴﻥاﻮﻴﺣ,"hayvana özgü, hayvansal."
hayy,ﯽﺣ,diri.
hayyât,طﺎﻴﺧ,terzi.
hayye,ﻪﻴﺣ,yılan.
hayyir,ﺮﻴﺧ,çok iyilik eden.
hayz,ﺾﻴﺧ,"regl, aybaşı."
hazâin,ﻦﺋاﺰﺧ,hazineler.
hazar,ﺮﻀﺣ,güvenlik.
hazer,زﺬﺣ,sakınma.
hazerat,تاﺮﻀﺣ,hazretler.
hazf,فﺬﺣ,"silme, kaldırıp atma."
hâzık,قذﺎﺣ,"usta, yetenekli, ehil."
hazır,ﺮﺽﺎﺣ,"1.huzurda. 2.hazır, mevcut."
hâzırûn,نوﺮﺽﺎﺣ,"bulunanlar, hazır olanlar."
hâzi,ﻊﺽﺎﺧ,alçakgönüllü.
hazîn,ﻦیﺰﺣ,hüzün dolu.
hâzin,نزﺎﺧ,haznedar.
hazine,ﻪﻨیﺰﺧ,hazine.
hazîre,ﻩﺮﻴﻈﺣ,etrafı çevrili yer (mezarlık vs.)
hazm,ﻢﻀﺣ,sindirim.
hazret,تﺮﻀﺣ,"sayın, hazret."
hazz,ﻆﺣ,"sevinç, haz."
hebâ,ﺎﺒه,boş.
hecâ,ﺎﺠه,"1.hece. 2.yerme, hiciv."
hecîn,ﻦﻴﺠه,iki hörgüçlü deve.
hecr,ﺮﺠه,ayrılık.
hedâyâ,ﺎیاﺪه,"armağanlar, hediyeler."
hedef,فﺪه,"amaç, hedef."
heder,رﺪه,"yazık olma, boşa gitme."
hediyye,ﻪیﺪه,"armağan, hediye."
helâhil,ﻞهﻼه,"zehir, ağı, boğanotu."
helâk,کﻼه,1.yok olma. 2.ölme.
helal,لﻼﺣ,"1.helal. 2.eş, hanım."
helezon,نوﺰﻠﺣ,1.sümüklüböcek. 2.yılankavî.
helva,اﻮﻠﺣ,helva.
helvâyî,ﯽیاﻮﻠﺣ,helvacı.
hemm,ﻢه,kaygı.
henâzir,ﺮیزﺎﻨﺧ,domuzlar.
hendesî,ﯽﺱﺪﻨه,geometrik.
herem,مﺮه,ehram.
hesâb,بﺎﺴﺣ,hesap.
hetk,ﮏﺘه,yırtma.
hettâk,کﺎﺘه,yırtan.
hevâ,اﻮه,"istek, nefis isteği."
heves,سﻮه,"istek, heves."
hevesât,تﺎﺱﻮه,"istekler, hevesler."
hevl,لﻮه,korku.
hey’et,ﺖﺌﻴه,1.ekip. 2.dış görünüş. 3.kurul. 4.topluluk. 5.astronomi.
heyâkil,ﻞﮐﺎﻴه,heykeller.
heyecân,نﺎﺠﻴه,1.coşku. 2.heyecan.
heyelân,نﻼﻴه,"toprak kayması, heyelan."
heyhât,تﺎﻬﻴه,yazık.
heykel,ﻞﮑﻴه,1.heykel. 2.gövde.
heyûlâ,ﻻﻮﻴه,1.ana madde. 2.zihinde tasarlanmış varlık.
hezeyân,نﺎیﺰه,1.sayıklama. 2.saçmalama.
hezîmet,ﺖﻤیﺰه,bozgun.
hezl,لﺰه,"şaka, şakalaşma."
hıfz,ﻆﻔﺣ,1.koruma. 2.ezberleme.
hıfzıssıhha,ﻪﺤﺼﻝا ﻆﻔﺣ,sağlık koruma.
hılt,ﻂﻠﺧ,"safra, sevda, dem (kan) ve balgam olmak üzere insan"
hınâ,ﺎﻨﺣ,kına.
hınzîr,ﺮیﺰﻨﺧ,domuz.
hırka,ﻪﻗﺮﺧ,hırka.
hırmân,نﺎﻡﺮﺣ,mahrumluk.
hırs,صﺮﺣ,hırs.
hırz,زﺮﺣ,1.sığınak. 2.nazar boncuğu.
hısâl,لﺎﺼﺧ,"huy, haslet."
hısn,ﻦﺼﺣ,kale.
hıtat,ﻂﻄﺧ,"ülkeler, diyarlar."
hıtta,ﻪﻄﺧ,"ülke, diyar."
hıyânet,ﺖﻥﺎﻴﺧ,hainlik.
hıyâr,رﺎﻴﺧ,seçme hakkı.
hibâb,بﺎﺒﺣ,1.haplar. 2.tohumlar.
hibâle,ﻪﻝﺎﺒﺣ,1.bağ. 2.tuzak.
hibe,ﻪﺒه,"bağışlama, hibe."
hibr,ﺮﺒﺣ,1.Yahudi bilgini. 2.mürekkep.
hibre,ﻩﺮﺒﺧ,deneyim.
hicâ,ﺎﺠه,yerme.
hicâb,بﺎﺠﺣ,1.perde. 2.utanma.
hicaz,زﺎﺠﺣ,1.Arabistan’da Hicaz bölgesi. 2.hicaz makamı.
hiciv,ﻮﺠه,"yergi, taşlama."
hicr,ﺮﺠه,ayrılık.
hicrân,ناﺮﺠه,1.ayrılık. 2.ayrılık acısı.
hicret,تﺮﺠه,göç.
hicv,ﻮﺠه,"yergi, taşlama."
hicviyye,ﻪیﻮﺠه,"taşlama, hicivle ilgili şiir veya düzyazı."
hidâ’,عاﺪﺧ,"düzen, komplo."
hidayet,ﺖیاﺪه,doğru yolu gösterme.
hiddet,تﺪﺣ,1.öfke. 2.keskinlik.
hidemat,تﺎﻡﺪﺧ,hizmetler.
hidmet,ﺖﻡﺪﺧ,hizmet.
hiffet,ﺖﻔﺧ,1.hafiflik. 2.hoppalık.
hikâyât,تﺎیﺎﮑﺣ,"hikayeler, öyküler."
hikâyet,ﺖیﺎﮑﺣ,"öykü, hikaye."
hikem,ﻢﮑﺣ,hikmetler.
hikmet,ﺖﻤﮑﺣ,1.bilgelik. 2.sebep.
hil’at,ﺖﻌﻠﺧ,kaftan.
hilâf,فﻼﺧ,"aykırı, zıt."
hilâl,لﻼﺧ,1.aralık. 2.kürdan.
hilâl,لﻼه,"yeni ay, ilkay."
hîle,ﻪﻠﻴﺣ,"düzen, oyun, hile."
hilkat,ﺖﻘﻠﺧ,1.yaratılış. 2.Tanrı.
hilm,ﻢﻠﺣ,yumuşaklık.
hilye,ﻪﻴﻠﺣ,1.süs. 2.güzel yüz. 3.güzel özellikler.
himâr,رﺎﻤﺣ,eşek.
himaye,ﻪیﺎﻤﺣ,"koruma, esirgeme."
himem,ﻢﻤه,"himmetler, çabalar."
himmet,ﺖﻤه,çaba.
hîn,ﻦﻴﺣ,"zaman, vakit, esna."
hiref,فﺮﺣ,meslekler.
hirem,مﺮه,piramit.
hirfet,ﺖﻓﺮﺣ,meslek.
hirmân,نﺎﻡﺮﺣ,mahrumluk.
hisâb,بﺎﺴﺣ,hesap.
hisân,نﺎﺼﺣ,"at, aygır."
hisar,رﺎﺼﺣ,"kale, hisar."
hiss,ﺲﺣ,duygu.
hisse,ﻪﺼﺣ,pay.
hisset,ﺖﺴﺧ,pintilik.
hissî,ﯽﺴﺣ,duygulu.
hissiyât,تﺎﻴﺴﺣ,duygular.
hissiye,ﻪﻴﺴﺣ,duygu.
hitâb,بﺎﻄﺧ,"konuşma, hitap etme."
hitâbe,ﻪﺑﺎﻄﺧ,konuşma.
hitabet,ﺖﺑﺎﻄﺧ,hatiplik.
hitâm,مﺎﺘﺧ,son. 2.son bulma.
hitan,نﺎﺘﺧ,"sünnet, sünnet etme."
hiyel,ﻞﻴﺣ,hileler.
hizâ,اﺬﺣ,sıra.
hizâne,ﻪﻥاﺰﺧ,hazine.
hizb,بﺰﺣ,1.parti. 2.grup.
hizmet,ﺖﻡﺪﺧ,"hizmet, görev yapma."
hokka,ﻪﻘﺣ,1.mürekkep kabı. 2.tükürük kabı.
hû,ﻮه,Tanrı.
hubb,ﺐﺣ,sevgi.
hubbü’l-vatan mine’l-îmân,نﺎﻤیﻻا ﻦﻡ ﻦﻃﻮﻝا ﺐﺣ,vatan sevgisi imandan
hubeb,ﺐﺒﺣ,taneler.
hubûb,بﻮﺒﺣ,1.taneler. 2.haplar.
hububat,تﺎﺑﻮﺒﺣ,tahıl.
hubz,ﺰﺒﺧ,ekmek.
huccâc,جﺎﺠﺣ,hacılar.
huccet,ﺖﺠﺣ,"delil, kanıt."
hud’a,ﻪﻋﺪﺧ,"düzen, dalavere."
huddâm,ماﺪﺧ,hizmetçiler.
hudûd,دوﺪﺣ,sınırlar.
hudûs,سوﺪﺣ,"meydana gelme, vukubulma."
huffâş,شﺎﻔﺧ,yarasa.
huffâz,ظﺎﻔﺣ,hafızlar.
hufre,ﻩﺮﻔﺣ,"1.çukur. 2.oyuk, delik."
hukne,ﻪﻨﻘﺣ,şırınga.
hukuk,قﻮﻘﺣ,1.hukuk. 2.haklar.
hulâsa,ﻪﺹﻼﺧ,özet.
hulâsaten,ﺔﺹﻼﺧ,"özetle, kısaca."
huld,ﺪﻠﺧ,cennet.
hulefa,ﺎﻔﻠﺧ,halifeler.
hulk,ﻖﻠﺧ,huy.
hulkum,مﻮﻘﻠﺣ,boğaz.
hulûl,لﻮﻠﺣ,"gelme, gelip çatma."
hulûs,صﻮﻠﺧ,içtenlik.
humâr,رﺎﻤﺧ,mahmurluk.
humekâ,ﺎﻘﻤﺣ,ahmaklar.
humk,ﻖﻤﺣ,ahmaklık.
hummâ,ﺎﻤﺣ,"1.nöbet, ateş nöbeti. 2.sıtma."
humret,تﺮﻤﺣ,"kırmızılık, kızıllık."
hums,ﺲﻤﺧ,beşte biri.
humûzet,ﺖﺽﻮﻤﺣ,ekşilik.
hunnâk,قﺎﻨﺧ,boğmaca.
hûr,رﻮﺣ,huri.
hurâfât,تﺎﻓاﺮﺧ,"hurafeler, batıl inançlar."
hurafe,ﻪﻓاﺮﺧ,batıl inanç.
hûri,یرﻮﺣ,"huri, cennet kızı."
hurûc,جوﺮﺧ,1.çıkış. 2.ayaklanma.
husemâ,ﺎﻤﺼﺧ,"düşmanlar, hasımlar."
husûf,فﻮﺴﺧ,ay tutulması.
husûl,لﻮﺼﺧ,"ortaya çıkma, gerçekleşme, var olma."
husûmet,ﺖﻡﻮﺼﺧ,düşmanlık.
husûs,صﻮﺼﺧ,konu.
husûsat,تﺎﺹﻮﺼﺧ,"hususlar, konular."
hususî,ﯽﺹﻮﺼﺧ,özel.
husûsiyet,ﺖﻴﺹﻮﺼﺧ,özellik.
huşû,عﻮﺸﺧ,1.alçakgönüllülük. 2.Tanrı’ya karşı korku ve saygı duyma.
huşûnet,ﺖﻥﻮﺸﺧ,"haşinlik, sertlik."
hutût,طﻮﻄﺧ,"1.hatlar, yollar. 2.çizgiler."
huzme,ﻪﻡﺰﺣ,demet.
huzûr,رﻮﻀﺣ,"1.hazır olma, bulunma. 2.rahatlık."
huzzâr,رﺎﻀﺣ,"hazır olanlar, bulunanlar."
hüccet,ﺖﺠﺣ,"delil, belge."
hücec,ﺞﺠﺣ,"deliller, belgeler."
hüceyrat,تاﺮﻴﺠﺣ,hücrecikler.
hüceyre,ﻩﺮﻴﺠﺣ,hücrecik.
hücre,ﻩﺮﺠﺣ,"1.odacık. 2.hücre, canlı organizmaların en küçük yapıtaşı."
hücum,مﻮﺠه,"saldırı, akın."
hücürât,تاﺮﺠﺣ,hücreler.
hüdhüd,ﺪهﺪه,"çavuşkuşu, ibibik."
hükemâ,ﺎﻤﮑﺣ,"bilgeler, hakîmler."
hükkâm,مﺎﮑﺣ,hakimler.
hükm,ﻢﮑﺣ,"hüküm, emir, kesin karar."
hükümat,تﺎﻡﻮﮑﺣ,hükümetler.
hükümet,ﺖﻡﻮﮑﺣ,1.hükümet. 2.hakimiyet. 3.devlet.
hülâsa,ﻪﺹﻼﺧ,özet.
hülâsatan,ﺔﺹﻼﺧ,"özetle, kısaca."
hünsâ,ﯽﺜﻨﺧ,1.erkek ve dişi organları üstünde bulunduran. 2.nötr.
hür,ﺮﺣ,özgür.
hürmet,ﺖﻡﺮﺣ,saygı.
hürr,ﺮﺣ,özgür.
hürriyet,ﺖیﺮﺣ,özgürlük.
hüsam,مﺎﺴﺣ,kılıç.
hüsn,ﻦﺴﺣ,güzellik.
hüsr,ﺮﺴﺧ,zarar.
hüsran,ناﺮﺴﺧ,1.zarar. 2.hayal kırıklığı.
hüviyyet,ﺖیﻮه,"asıl, kimlik."
hüzn,نﺰﺣ,"hüzün, üzüntü."
hüzzam,ماﺰﺣ,Türk musikîsinde bir makam.
ık’âd,دﺎﻌﻗا,oturtma.
ıkd,ﺪﻘﻋ,"1.dizi. 2.kolye, gerdanlık."
ıklîm,ﻢﻴﻠﻗا,iklim.
ıktıdâ,اﺪﺘﻗا,uyma.
ırdâ,عﺎﺽرا,"emzirme, süt verme."
ırk,قﺮﻋ,"1.soy, ırk. 2.damar. 3.kök."
ırken,ﺎﻗﺮﻋ,ırk bakımından.
ırkî,ﯽﻗﺮﻋ,ırk ile ilgili.
ırz,ضﺮﻋ,"namus, iffet."
ırzâ,عﺎﺽرا,"emzirme, süt verme."
ısdâr,راﺪﺹا,çıkartma.
ısfırâr,راﺮﻔﺹا,sararma.
ıskât,طﺎﻘﺱا,düşürme.
ıslâh,حﻼﺹا,"düzeltme, iyileştirme, reform."
ıslâhât,تﺎﺣﻼﺹا,"düzeltmeler, iyileştirmeler, reformlar."
ısrar,راﺮﺹا,"diretme, üsteleme."
ıstıbâr,رﺎﺒﻄﺹا,sabretme.
ıstıfâ,ﺎﻔﻄﺹا,"seçme, ayıklama."
ıstıfâî,ﯽﺋﺎﻔﻄﺹا,seçimle ilgili.
ıstılâh,حﻼﻄﺹا,"terim, tabir."
ıstılâhât,تﺎﺣﻼﻄﺹ,"terimler, tabirler."
ıstınâ’,عﺎﻨﻄﺹا,seçme.
ıstırab,باﺮﻄﺽا,"acı, ızdırap."
ışk,ﻖﺸﻋ,aşk.
ışka,ﻪﻘﺸﻋ,sarmaşık.
ıtk,ﻖﺘﻋ,"âzâd etme, köle âzâd etme."
ıtlak,قﻼﻃا,"bırakma, salma."
ıtnâb,بﺎﻨﻃا,sözü uzatma.
ıtr,ﺮﻄﻋ,"koku, ıtır."
ıtrî,یﺮﻄﻋ,"ıtırlı, kokulu."
ıtriyyât,تﺎیﺮﻄﻋ,"kokular, ıtırlar, parfümler."
ıttılâ’,عﻼﻃا,bilgi sahibi olma.
ıttılâât,تﺎﻋﻼﻃا,bilgiler.
ıttırad,داﺮﻃا,ritm.
ıyâdet,تدﺎﻴﻋ,hasta ziyareti.
ıyâl,لﺎﻴﻋ,"eş, hanım."
ız’âf,فﺎﻌﺽا,"zayıf düşürme, zayıflatma."
ızdırap,باﺮﻄﺽا,acı.
ızlâl,لﻼﺽا,yoldan çıkarma.
ızlâl,لﻼﻇا,gölgede bırakma.
ızrâr,راﺮﺽا,"zarar verme, zarara sokma."
ıztırâb,باﺮﻄﺽا,"ızdırap, acı."
ıztırâbâver,روﺁ باﺮﻄﺽا,acı verici.
ıztırâr,راﺮﻄﺽا,zorunluluk.
ıztırârî,یراﺮﻄﺽا,zorunlu.
i’câz,زﺎﺠﻋا,1.aciz bırakma. 2.şaşırtma.
i’dâdî,یداﺪﻋا,lise.
i’dâm,ماﺪﻋا,"yok etme, öldürme."
i’lâ,ﻼﻋا,"yükseltme, yüceltme."
i’lâm,مﻼﻋا,bildirme.
i’lân,نﻼﻋا,ilan.
i’mâl,لﺎﻤﻋا,"yapma, işleme."
i’mâr,رﺎﻤﻋا,"bayındırlaştırma, mamûr etme."
i’râz,ضاﺮﻋا,1.yüz çevirme. 2.uzak durma.
i’tâ,ﺎﻄﻋا,1.verme. 2.verilme. 3.ödeme. 4.ödenme.
i’tâk,قﺎﺘﻋا,"âzâd etme, özgür bırakma."
i’tikâf,فﺎﮑﺘﻋا,"bir yere kapanma, köşesine çekilerek yaşama."
i’tilâ,ﻼﺘﻋا,1.yükselme. 2.yüksek rütbeye ulaşma.
i’tizâl,لاﺰﺘﻋا,köşesine çekilme.
i’tizâr,راﺬﺘﻋا,özür dileme.
i’vicâc,جﺎﺝﻮﻋا,"eğrilme, burkulma."
i’zâm,ماﺰﻋا,1.gönderme. 2.gönderilme.
i’zâz,زاﺰﻋا,1.değer verme. 2.ağırlama.
iâde,ﻩدﺎﻋا,"geri verme, geri gönderme."
iâdeten,ةدﺎﻋا,geri verilmek üzere.
iânât,تﺎﻥﺎﻋا,"yardımlar, bağışlar."
iâne,ﻪﻥﺎﻋا,"yardım, bağış."
iâşe,ﻪﺵﺎﻋا,geçindirme.
ib’âd,دﺎﻌﺑا,uzaklaştırma.
ibâ’,ءﺎﺑا,"çekinme, uzak durma, kaçınma."
ibâd,دﺎﺒﻋ,kullar.
ibâdât,تادﺎﺒﻋ,ibadetler.
ibâdet,تدﺎﺒﻋ,"klluk, tapınma."
ibâdullah,ﷲادﺎﺒﻋ,"1.Tanrı’nın kulları. 2.çok, bol."
ibâhat,ﺖﺣﺎﺑا,"helal sayma, mübah görme."
ibâhî,ﯽﺣﺎﺑا,"helal sayan, mübah gören."
ibârât,تارﺎﺒﻋ,1.cümleler. 2.paragraflar.
ibâre,ﻩرﺎﺒﻋ,1.cümle. 2.paragraf.
ibâret,ترﺎﺒﻋ,"meydana gelen, oluşan."
ibâte,ﻪﺕﺎﺑا,"gece yatırma, geceyi geçirtme, barındırma."
ibdâ’,عاﺪﺑا,"yeni bir şey getirme, yaratma, geliştirme."
ibhâm,مﺎﻬﺑا,belirsizlik.
ibhâmât,تﺎﻡﺎﻬﺑا,belirsizlikler.
ibkâ,ﺎﻘﺑا,1.devamlılık kazandırma. 2.sınıfta bırakma.
ibkâen,ءﺎﻘﺑا,eski yerinde bırakarak.
ibl,ﻞﺑا,deve.
iblâğ,غﻼﺑا,1.bildirme. 2.ulaştırma.
iblîs,ﺲﻴﻠﺑا,1.şeytan. 2.hileci.
ibn,ﻦﺑا,oğul.
ibrâ’,ءاﺮﺑا,aklanma.
ibrâm,ماﺮﺑا,zorlama.
ibrâz,زاﺮﺑا,gösterme.
ibre,ﻩﺮﺑا,1.iğne. 2.gösterge.
ibret,تﺮﺒﻋ,hayat dersi.
ibreten,ةﺮﺒﻋ,"ibret olsun diye, ibret olarak."
ibrîk,ﻖیﺮﺑا,"ibrik, ıbrık, su, şarap gibi sıvı konulan kap."
ibtâl,لﺎﻄﺑا,"geçersiz kılma, kaldırma, bozma."
ibtidâ,اﺪﺘﺑا,"1.ilkin, önce. 2.başlangıç. 3.başlama."
ibtidâ’î,ﯽﺋاﺪﺘﺑا,1.ilkel. 2.ilkokul.
ibtidâr,راﺪﺘﺑا,"başlama, girişme."
ibtihâc,جﺎﻬﺘﺑا,sevinme.
ibtilâ,ﻼﺘﺑا,"tutkunluk, müptelalık, düşkünlük."
ibtinâ,ﺎﻨﺘﺑا,1.bina etme. 2.dayanma. 3.bina edilme.
ibtinâ’en,ءﺎﻨﺘﺑا,dayanarak.
ibzâr,راﺰﺑا,gösterme.
îcâb,بﺎﺠیا,"gerekme, gerek."
îcâbât,تﺎﺑﺎﺠیا,"gereklilikler, gerekler."
icâbet,ﺖﺑﺎﺝا,1.kabul edilme. 2.uyma.
îcâd,دﺎﺠیا,"1.var etme, yaratma. 2.icat."
icâleten,ﺔﻝﺎﺠﻋ,"aceleyle, acele olarak."
îcâr,رﺎﺠیا,1.kiralama. 2.kiraya verme. 3.kira.
icâre,ﻩرﺎﺝا,kira geliri.
îcâz,زﺎﺠیا,"veciz anlatma, özlü söyleme."
icâzet,تزﺎﺝا,"1.izin. 2.mezuniyet belgesi, diploma."
icbâr,رﺎﺒﺝا,zorlama.
iclâl,لﻼﺝا,ululama.
icmâ’,عﺎﻤﺝا,bir araya getirme.
icmâl,لﺎﻤﺝا,1.özetleme. 2.özet. 3.toplam.
icmâlen,ﻻﺎﻤﺝا,"özetle, özetleyerek."
icmâlî,ﯽﻝﺎﻤﺝا,"derli toplu, özet halinde."
icrâ,اﺮﺝا,"1.yürütme, yapma, yerine getirme. 2.yapılma, yerine getirilme,"
icrâât,تﺁاﺮﺝا,yapılanlar.
ictihâd,دﺎﻬﺘﺝا,"1.çalışma, çabalama. 2.görüş. 3.dinî kaynaklar ışığında"
ictimâ’,عﺎﻤﺘﺝا,"1.toplanma, bir araya gelme, toplantı. 2.toplum."
ictimâât,تﺎﻋﺎﻤﺘﺝا,"toplantılar, bir araya gelişler."
ictimâî,ﯽﻋﺎﻤﺘﺝا,"toplumsal, sosyal, toplumbilimsel."
ictimâiyyât,تﺎﻴﻋﺎﻤﺘﺝا,"sosyoloji, toplumbilim."
ictimâiyyûn,نﻮﻴﻋﺎﻤﺘﺝا,"sosyologlar, toplumbilimciler."
ictinâb,بﺎﻨﺘﺝا,"kaçınma, uzak durma, çekinme."
ictisâr,رﺎﺴﺘﺝا,"yüreklenme, cesaret bulma."
îd,ﺪﻴﻋ,bayram.
idâme,ﻪﻡادا,"devam ettirme, sürdürme."
idâre,ﻩرادا,"1.döndürme. 2.çekip çevirme, yönetme. 3.devlet dairesi."
idârî,یرادا,yönetimsel.
idbâr,رﺎﺑدا,talihsizlik.
iddiâ,ﺎﻋدا,1.düşüncesinde ısrar etme. 2.dava etme. 3.inat.
idhâl,لﺎﺧدا,"1.içeri alma, sokma. 2.yurt dışından getirme, dışalım, ithal."
idhâlât,تﻻﺎﺧدا,"ithalat, dışalım malları."
îdiyye,ﻪیﺪﻴﻋ,"bayramlık, bayram bahşişi."
idmân,نﺎﻡدا,"1.alıştırma. 2.spor, egzersiz."
idrâk,کاردا,"1.kavrama, anlama. 2.erişme."
idrâr,راردا,sidik.
îfâ,ﺎﻔیا,"1.yapma, yerine getirme. 2.ödeme."
ifâdât,تادﺎﻓا,ifadeler.
ifâde,ﻩدﺎﻓا,"söylem, anlatım, dile getirme."
ifâkat,ﺖﻗﺎﻓا,iyileşme.
ifâze,ﻪﺽﺎﻓا,1.taşma. 2.bereketlendirme.
iffet,ﺖﻔﻋ,"namusluluk, namus düşkünlüğü."
ifhâm,مﺎﻬﻓا,anlatma.
iflâh,حﻼﻓا,"rahata erme, kurtulma."
iflâs,سﻼﻓا,"her şeyini yitirme, bitip tükenme."
ifnâ,ﺎﻨﻓا,yok etme.
ifrâğ,غاﺮﻓا,"dökme, boşaltma."
ifrât,طاﺮﻓا,aşırıya kaçma.
ifratperestî,ﯽﺘﺱﺮﭘ طاﺮﻓا,aşırıcılık.
ifrâz,زاﺮﻓا,1.parçalara bölme. 2.parselleme. 3.salgı.
ifrâzât,تﺎﺽاﺮﻓا,1.salgılar. 2.parsellemeler.
ifrît,ﺖیﺮﻔﻋ,mitolojik canavar.
ifsâd,دﺎﺴﻓا,1.bozma. 2.bozgunculuk yapma.
ifşâ,ﺎﺸﻓا,açığa vurma.
ifşâât,تﺁﺎﺸﻓا,açığa vurmalar.
iftâr,رﺎﻄﻓا,1.oruç açma. 2.Ramazan ayında verilen akşam yemeği.
iftâriyye,ﻪیرﺎﻄﻓا,"iftarlık, iftar için hazırlanan yiyecek."
iftihâr,رﺎﺨﺘﻓا,"övünme, kıvanma, kıvanç."
iftikâr,رﺎﻘﺘﻓا,yoksulluk çekme.
iftirâ,اﺮﺘﻓا,birine işlemediği suçu yıkma.
iftirâk,قاﺮﺘﻓا,ayrılık.
iftirâs,ساﺮﺘﻓا,parçalama.
iftitâh,حﺎﺘﺘﻓا,1.açılış. 2.başlama.
iftizâh,حﺎﻀﺘﻓا,"rezillik, skandal."
iğbirâr,راﺮﺒﻏا,"kırılma, alınma, gücenme."
iğfâl,لﺎﻔﻏا,"1.aldatma, kandırma. 2.ırza geçme."
iğlâk,قﻼﻏا,üstü kapalı konuşma.
iğlât,طﻼﻏا,yanıltma.
iğmâz,ضﺎﻤﻏا,"görmezden gelme, göz yumma."
iğnâ,ﺎﻨﻏا,"zengin etme, kimseye muhtaç olmayacak hale getirme."
iğrâk,قاﺮﻏا,1.boğma. 2.abartma.
iğtinâm,مﺎﻨﺘﻏا,1.ganimet bilme. 2.ganimet alma.
iğtişâş,شﺎﺸﺘﻏا,"karışıklık, kargaşa, anarşi."
iğtişâşât,تﺎﺵﺎﺸﺘﻏا,"karışıklıklar, anarşiler."
iğvâ,اﻮﻏا,"azdırma, ayartma."
ihâle,ﻪﻝﺎﺣا,"havale etme, bırakma."
îhâm,مﺎﻬیا,iki anlama gelen kelimenin uzak anlamını kasdetme.
ihânet,ﺖﻥﺎها,hainlik.
ihâta,ﻪﻃﺎﺣا,"1.kavrama. 2.kuşatma, sarma."
ihbâr,رﺎﺒﺧا,"bildirme, haber verme."
ihdâ,اﺪها,hediye etme.
ihdâs,ثاﺪﺣا,"kurma, oluşturma, meydana getirme."
ihfâ,ﺎﻔﺧا,"gizleme, saklama."
ihfâf,فﺎﻔﺧا,hafife alma.
ihkâk,قﺎﻘﺣا,hakkını verme.
ihlâ,ﻼﺧا,boşaltma.
ihlâk,کﻼها,"helak etme, yok etme, öldürme."
ihlâl,لﻼﺧا,"bozma, lekeleme, halel getirme."
ihlâs,صﻼﺧا,"içtenlik, dürüstlük."
ihmâl,لﺎﻤها,"önemsememe, savsaklatma."
ihrâc,جاﺮﺧا,"1.çıkartma. 2.dışsatım, yurt dışına gönderme."
ihrâcât,تﺎﺝاﺮﺧا,1.çıkarmalar. 2.dışsatımlar.
ihrâk,قاﺮﺣا,yakma.
ihrâm,ماﺮﺣا,hac zamanı giyilen beyaz giysi.
ihrâz,زاﺮﺣا,"kazanma, elde etme."
ihsâ,ﺎﺼﺣا,sayma.
ihsâî,ﯽﺋﺎﺼﺣا,"sayım ile ilgili, istatistik."
ihsâiyyât,تﺎﻴﺋﺎﺼﺣا,istatistik.
ihsâiyye,ﻪﻴﺋﺎﺼﺣا,istatistik.
ihsân,نﺎﺴﺣا,1.bağış. 2.iyilik.
ihsâs,سﺎﺴﺣا,hissettirme.
ihtâr,رﺎﻄﺧا,"uyarı, hatırlatma."
ihticâc,جﺎﺠﺘﺣا,kanıt gösterme.
ihtidâ,اﺪﺘها,"hidayete erme, müslüman olma."
ihtifâ,ﺎﻔﺘﺧا,gizlenme.
ihtifâl,لﺎﻔﺘﺣا,anma töreni.
ihtikâr,رﺎﮑﺘﺣا,vurgun.
ihtilâc,جﻼﺘﺧا,1.çırpınma. 2.seğirme.
ihtilâf,فﻼﺘﺧا,uyuşmazlık.
ihtilâfat,تﺎﻓﻼﺘﺧا,uyuşmazlıklar.
ihtilâl,لﻼﺘﺧا,"1.bozukluk, arıza. 2.ihtilal."
ihtilâlat,تﻻﻼﺘﺧا,1.bozukluklar. 2.ihtilaller.
ihtilâm,مﻼﺘﺣا,"düşazma, şeytan aldatması."
ihtilâs,سﻼﺘﺧا,"zimmetine para geçirme, para çalma."
ihtilât,طﻼﺘﺧا,"1.karışma. 2.görüşme, kaynaşma."
ihtimâl,لﺎﻤﺘﺣا,1.olasılık. 2.yüklenme. 3.belki.
ihtimâlât,تﻻﺎﻤﺘﺣا,olasılıklar.
ihtimâm,مﺎﻤﺘها,özen.
ihtinâk,قﺎﻨﺘﺧا,boğulma.
ihtirâ,عاﺮﺘﺧا,"icat, buluş."
ihtirâat,تﺎﻋاﺮﺘﺧا,buluşlar.
ihtirak,قاﺮﺘﺣا,yanma.
ihtirâm,ماﺮﺘﺣا,"saygı duyma, hürmet etme."
